date,Content,Likes,Retweet
2020-12-14 15:25:57+00:00,@Zwiebelbach @its_menieb @CyberpunkGame https://t.co/aaYYPCPP1i,69928,12338
2020-12-14 15:12:18+00:00,Hehe https://t.co/SkLMiL3OxT,323811,22685
2020-12-14 13:57:47+00:00,@CyberpunkGame https://t.co/RHKsB40xqr,42825,2181
2020-12-14 13:56:52+00:00,@CyberpunkGame https://t.co/kmG7C9qF6h,77377,2680
2020-12-14 06:51:16+00:00,https://t.co/sdmXKbHdzd,70541,2990
2020-12-14 06:11:07+00:00,https://t.co/qbNT1dUsED,239352,19105
2020-12-13 15:39:41+00:00,@QuantaMagazine init void,7255,173
2020-12-12 18:47:57+00:00,@PPathole @ErcXspace @SpaceX *cooling haha,2621,46
2020-12-12 00:47:09+00:00,"@ErcXspace @SpaceX Ship leeward side will be bare metal, windward will have black, hexagonal heat shield tiles",10441,195
2020-12-11 14:00:48+00:00,@conexionspacial @Pockn_CG Yes,2775,31
2020-12-11 00:40:28+00:00,"@SpacePadreIsle @SpaceX Agreed, should be preserved in memory of SN8",25834,608
2020-12-10 00:45:23+00:00,@NASASpaceflight @BocaChicaGal Exactly! Woohoo!!,11112,264
2020-12-10 00:18:59+00:00,"@Erdayastronaut @SpaceX SN8 did great! Even reaching apogee would’ve been great, so controlling all way to putting the crater in the right spot was epic!!",15073,872
2020-12-10 00:10:39+00:00,"Thank you, South Texas for your support! This is the gateway to Mars.",110817,3271
2020-12-10 00:08:40+00:00,"Life, the Universe and Everything https://t.co/1ZCzInfc4u",192062,10791
2020-12-09 23:44:18+00:00,"@Erdayastronaut Yeah, engines did great!",17110,456
2020-12-09 23:08:53+00:00,"Mars, here we come!!",620523,48294
2020-12-09 23:07:39+00:00,"Fuel header tank pressure was low during landing burn, causing touchdown velocity to be high &amp; RUD, but we got all the data we needed! Congrats SpaceX team hell yeah!!",95303,6876
2020-12-09 23:02:34+00:00,"Successful ascent, switchover to header tanks &amp; precise flap control to landing point!",104417,9640
2020-12-09 18:13:21+00:00,@TheBabylonBee 🤠,15054,344
2020-12-08 18:05:28+00:00,@wonderofscience Near-orbital space is the fastest way to travel long distance on Earth!,13036,351
